label,category,cost,throughput_kinfs,latency_ms,embed_gb,gpu,cpu,num_gpus,num_nodes,cgra,interconnect,bottleneck
1x4-ch DDR5+RTX 5090@PCIe4,CPU+GPU,3300,141.87674313990107,30.917875393939386,16,RTX 5090,Xeon-4ch,1,1,,PCIe4,CPU embed
1x4-ch DDR5+RTX 5090@PCIe5,CPU+GPU,3300,141.87674313990107,30.065907393939387,16,RTX 5090,Xeon-4ch,1,1,,PCIe5,CPU embed
1x4-ch DDR5+RTX 5090@NVLink,CPU+GPU,3300,141.87674313990107,29.274523785050498,16,RTX 5090,Xeon-4ch,1,1,,NVLink,CPU embed
2x4-ch DDR5+RTX 5090@PCIe4,CPU+GPU,4100,280.8185264778272,16.63367776757625,16,RTX 5090,Xeon-4ch,1,2,,PCIe4,CPU embed
2x4-ch DDR5+RTX 5090@PCIe5,CPU+GPU,4100,280.8185264778272,15.781709767576249,16,RTX 5090,Xeon-4ch,1,2,,PCIe5,CPU embed
2x4-ch DDR5+RTX 5090@NVLink,CPU+GPU,4100,280.8185264778272,14.990326158687362,16,RTX 5090,Xeon-4ch,1,2,,NVLink,CPU embed
4x4-ch DDR5+RTX 5090@PCIe4,CPU+GPU,5700,555.8278479469835,9.416933690845532,16,RTX 5090,Xeon-4ch,1,4,,PCIe4,CPU embed
4x4-ch DDR5+RTX 5090@PCIe5,CPU+GPU,5700,555.8278479469835,8.564965690845531,16,RTX 5090,Xeon-4ch,1,4,,PCIe5,CPU embed
4x4-ch DDR5+RTX 5090@NVLink,CPU+GPU,5700,555.8278479469835,7.773582081956643,16,RTX 5090,Xeon-4ch,1,4,,NVLink,CPU embed
8x4-ch DDR5+RTX 5090@PCIe4,CPU+GPU,8900,1100.1574590833434,5.770848945216862,16,RTX 5090,Xeon-4ch,1,8,,PCIe4,CPU embed
8x4-ch DDR5+RTX 5090@PCIe5,CPU+GPU,8900,1100.1574590833434,4.918880945216863,16,RTX 5090,Xeon-4ch,1,8,,PCIe5,CPU embed
8x4-ch DDR5+RTX 5090@NVLink,CPU+GPU,8900,1100.1574590833434,4.127497336327973,16,RTX 5090,Xeon-4ch,1,8,,NVLink,CPU embed
16x4-ch DDR5+RTX 5090@PCIe4,CPU+GPU,15300,2177.556304973343,3.9287531425999562,16,RTX 5090,Xeon-4ch,1,16,,PCIe4,CPU embed
16x4-ch DDR5+RTX 5090@PCIe5,CPU+GPU,15300,2177.556304973343,3.0767851425999564,16,RTX 5090,Xeon-4ch,1,16,,PCIe5,CPU embed
16x4-ch DDR5+RTX 5090@NVLink,CPU+GPU,15300,2177.556304973343,2.285401533711067,16,RTX 5090,Xeon-4ch,1,16,,NVLink,CPU embed
1x4-ch DDR5+A100 40GB@PCIe4,CPU+GPU,10800,141.87674313990107,30.81473253679653,16,A100 40GB,Xeon-4ch,1,1,,PCIe4,CPU embed
1x4-ch DDR5+A100 40GB@PCIe5,CPU+GPU,10800,141.87674313990107,29.96276453679653,16,A100 40GB,Xeon-4ch,1,1,,PCIe5,CPU embed
1x4-ch DDR5+A100 40GB@NVLink,CPU+GPU,10800,141.87674313990107,29.17138092790764,16,A100 40GB,Xeon-4ch,1,1,,NVLink,CPU embed
2x4-ch DDR5+A100 40GB@PCIe4,CPU+GPU,11600,280.8185264778272,16.530534910433392,16,A100 40GB,Xeon-4ch,1,2,,PCIe4,CPU embed
2x4-ch DDR5+A100 40GB@PCIe5,CPU+GPU,11600,280.8185264778272,15.678566910433391,16,A100 40GB,Xeon-4ch,1,2,,PCIe5,CPU embed
2x4-ch DDR5+A100 40GB@NVLink,CPU+GPU,11600,280.8185264778272,14.887183301544503,16,A100 40GB,Xeon-4ch,1,2,,NVLink,CPU embed
4x4-ch DDR5+A100 40GB@PCIe4,CPU+GPU,13200,555.8278479469835,9.313790833702674,16,A100 40GB,Xeon-4ch,1,4,,PCIe4,CPU embed
4x4-ch DDR5+A100 40GB@PCIe5,CPU+GPU,13200,555.8278479469835,8.461822833702673,16,A100 40GB,Xeon-4ch,1,4,,PCIe5,CPU embed
4x4-ch DDR5+A100 40GB@NVLink,CPU+GPU,13200,555.8278479469835,7.670439224813785,16,A100 40GB,Xeon-4ch,1,4,,NVLink,CPU embed
8x4-ch DDR5+A100 40GB@PCIe4,CPU+GPU,16400,1100.1574590833434,5.667706088074005,16,A100 40GB,Xeon-4ch,1,8,,PCIe4,CPU embed
8x4-ch DDR5+A100 40GB@PCIe5,CPU+GPU,16400,1100.1574590833434,4.8157380880740055,16,A100 40GB,Xeon-4ch,1,8,,PCIe5,CPU embed
8x4-ch DDR5+A100 40GB@NVLink,CPU+GPU,16400,1100.1574590833434,4.024354479185116,16,A100 40GB,Xeon-4ch,1,8,,NVLink,CPU embed
16x4-ch DDR5+A100 40GB@PCIe4,CPU+GPU,22800,2177.556304973343,3.825610285457099,16,A100 40GB,Xeon-4ch,1,16,,PCIe4,CPU embed
16x4-ch DDR5+A100 40GB@PCIe5,CPU+GPU,22800,2177.556304973343,2.973642285457099,16,A100 40GB,Xeon-4ch,1,16,,PCIe5,CPU embed
16x4-ch DDR5+A100 40GB@NVLink,CPU+GPU,22800,2177.556304973343,2.18225867656821,16,A100 40GB,Xeon-4ch,1,16,,NVLink,CPU embed
1x4-ch DDR5+A100 80GB@PCIe4,CPU+GPU,15800,141.87674313990107,30.81473253679653,16,A100 80GB,Xeon-4ch,1,1,,PCIe4,CPU embed
1x4-ch DDR5+A100 80GB@PCIe5,CPU+GPU,15800,141.87674313990107,29.96276453679653,16,A100 80GB,Xeon-4ch,1,1,,PCIe5,CPU embed
1x4-ch DDR5+A100 80GB@NVLink,CPU+GPU,15800,141.87674313990107,29.17138092790764,16,A100 80GB,Xeon-4ch,1,1,,NVLink,CPU embed
2x4-ch DDR5+A100 80GB@PCIe4,CPU+GPU,16600,280.8185264778272,16.530534910433392,16,A100 80GB,Xeon-4ch,1,2,,PCIe4,CPU embed
2x4-ch DDR5+A100 80GB@PCIe5,CPU+GPU,16600,280.8185264778272,15.678566910433391,16,A100 80GB,Xeon-4ch,1,2,,PCIe5,CPU embed
2x4-ch DDR5+A100 80GB@NVLink,CPU+GPU,16600,280.8185264778272,14.887183301544503,16,A100 80GB,Xeon-4ch,1,2,,NVLink,CPU embed
4x4-ch DDR5+A100 80GB@PCIe4,CPU+GPU,18200,555.8278479469835,9.313790833702674,16,A100 80GB,Xeon-4ch,1,4,,PCIe4,CPU embed
4x4-ch DDR5+A100 80GB@PCIe5,CPU+GPU,18200,555.8278479469835,8.461822833702673,16,A100 80GB,Xeon-4ch,1,4,,PCIe5,CPU embed
4x4-ch DDR5+A100 80GB@NVLink,CPU+GPU,18200,555.8278479469835,7.670439224813785,16,A100 80GB,Xeon-4ch,1,4,,NVLink,CPU embed
8x4-ch DDR5+A100 80GB@PCIe4,CPU+GPU,21400,1100.1574590833434,5.667706088074005,16,A100 80GB,Xeon-4ch,1,8,,PCIe4,CPU embed
8x4-ch DDR5+A100 80GB@PCIe5,CPU+GPU,21400,1100.1574590833434,4.8157380880740055,16,A100 80GB,Xeon-4ch,1,8,,PCIe5,CPU embed
8x4-ch DDR5+A100 80GB@NVLink,CPU+GPU,21400,1100.1574590833434,4.024354479185116,16,A100 80GB,Xeon-4ch,1,8,,NVLink,CPU embed
16x4-ch DDR5+A100 80GB@PCIe4,CPU+GPU,27800,2177.556304973343,3.825610285457099,16,A100 80GB,Xeon-4ch,1,16,,PCIe4,CPU embed
16x4-ch DDR5+A100 80GB@PCIe5,CPU+GPU,27800,2177.556304973343,2.973642285457099,16,A100 80GB,Xeon-4ch,1,16,,PCIe5,CPU embed
16x4-ch DDR5+A100 80GB@NVLink,CPU+GPU,27800,2177.556304973343,2.18225867656821,16,A100 80GB,Xeon-4ch,1,16,,NVLink,CPU embed
1x6-ch DDR5+RTX 4060@PCIe4,CPU+GPU,1500,276.3832658569501,18.328936,16,RTX 4060,Xeon-6ch,1,1,,PCIe4,CPU embed
1x6-ch DDR5+RTX 4060@PCIe5,CPU+GPU,1500,276.3832658569501,17.476968,16,RTX 4060,Xeon-6ch,1,1,,PCIe5,CPU embed
1x6-ch DDR5+RTX 4060@NVLink,CPU+GPU,1500,276.3832658569501,16.68558439111111,16,RTX 4060,Xeon-6ch,1,1,,NVLink,CPU embed
2x6-ch DDR5+RTX 4060@PCIe4,CPU+GPU,2700,547.0490775542089,10.996381218466919,16,RTX 4060,Xeon-6ch,1,2,,PCIe4,CPU embed
2x6-ch DDR5+RTX 4060@PCIe5,CPU+GPU,2700,547.0490775542089,10.14441321846692,16,RTX 4060,Xeon-6ch,1,2,,PCIe5,CPU embed
2x6-ch DDR5+RTX 4060@NVLink,CPU+GPU,2700,547.0490775542089,9.35302960957803,16,RTX 4060,Xeon-6ch,1,2,,NVLink,CPU embed
